residence,age_range,meat_consumption,fresh_food_cons,habitation_type,tentants,house_size,house_energy_efficiency,weekly_car_km,car_type,person_per_travel,km_public,yearly_flight_hours
Sì,Under 19,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa unifamiliare,4,Molto grande (oltre 170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",200,Diesel,Sempre,150,4
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",0,Diesel,Sempre,100,20
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Sopra alla media (ottima coibentazione, lampade e elettrodomestici altamente efficienti, uso consapevole dell'energia)",30,Benzina,Spesso,0,10
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Meno del 25%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),2,Media (21-50 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",12,Diesel,Raramente,10,50
Sì,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),10,Diesel,Ogni tanto,0,3
No,26-35,"Ogni tanto (mangio regolarmente verdure e, occasionalmente, anche carne, pesce e derivati animali)",Meno del 25%,Casa unifamiliare,4,Media (21-50 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),0,Benzina,Spesso,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",50-75%,Casa unifamiliare,4,Grande (111-170 mq),"Molto inefficiente (scarsa coibentazione, solo poche lampade a LED, sistemi di riscaldamento / climatizzazione usati spesso)",150,Diesel,Sempre,0,0
Sì,26-35,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),3,Grande (111-170 mq),"Inferiore alla media (lampade poco efficienti, elettrodomestici standard)",600,Diesel,Mai,0,0
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",Oltre il 75%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),480,Diesel,Ogni tanto,0,12
Sì,19-25,"Spesso (carne, pesce e verdure sono bilanciate nella mia dieta - consumo carne e/o pesce 4-5 volte a settimana, uova e latticini quotidianamente)",25-50%,Casa a schiera o palazzina plurifamiliare (2-4 unità abitative),5,Grande (111-170 mq),Nella media (elettrodomestici e riscaldamento / climatizzazione moderni),50,Diesel,Spesso,700,4
